Dataset,K,Algorithm,Seed,Fitness,Distance,Infeasibility,Evaluations,Time
data/bupa_set,15,RandomSearch,1000,0.334958,0.245617,508,100000,16.8265
data/bupa_set,15,RandomSearch,1001,0.33467,0.247438,496,100000,16.763
data/bupa_set,15,RandomSearch,1002,0.335388,0.250971,480,100000,16.7653
data/bupa_set,15,RandomSearch,1003,0.335224,0.252389,471,100000,16.7757
data/bupa_set,15,RandomSearch,1004,0.335527,0.248296,496,100000,16.7927
data/bupa_set,15,RandomSearch,1005,0.33517,0.247587,498,100000,16.7918
data/bupa_set,15,RandomSearch,1006,0.334577,0.248753,488,100000,16.7981
data/bupa_set,15,RandomSearch,1007,0.335545,0.248138,497,100000,16.7726
data/bupa_set,15,RandomSearch,1008,0.336354,0.250178,490,100000,16.7609
data/bupa_set,15,RandomSearch,1009,0.335806,0.250861,483,100000,16.7592
data/bupa_set,15,GreedySearch,1000,0.244241,0.240723,20,1,0.0232231
data/bupa_set,15,GreedySearch,1001,0.243602,0.24114,14,1,0.0296123
data/bupa_set,15,GreedySearch,1002,0.245122,0.242835,13,1,0.0295553
data/bupa_set,15,GreedySearch,1003,0.243887,0.24037,20,1,0.0229707
data/bupa_set,15,GreedySearch,1004,0.241241,0.238251,17,1,0.0198112
data/bupa_set,15,GreedySearch,1005,0.238591,0.235601,17,1,0.0263359
data/bupa_set,15,GreedySearch,1006,0.246493,0.243327,18,1,0.0196918
data/bupa_set,15,GreedySearch,1007,0.24431,0.241144,18,1,0.022866
data/bupa_set,15,GreedySearch,1008,0.244914,0.241573,19,1,0.0295053
data/bupa_set,15,GreedySearch,1009,0.24851,0.245696,16,1,0.0329042
data/bupa_set,15,LocalSearch,1000,0.181249,0.152582,163,64330,10.1818
data/bupa_set,15,LocalSearch,1001,0.183927,0.155964,159,80663,12.7507
data/bupa_set,15,LocalSearch,1002,0.182756,0.152155,174,93234,14.7406
data/bupa_set,15,LocalSearch,1003,0.178614,0.150299,161,78379,12.4167
data/bupa_set,15,LocalSearch,1004,0.174873,0.143041,181,100000,15.9149
data/bupa_set,15,LocalSearch,1005,0.179207,0.150716,162,94936,15.091
data/bupa_set,15,LocalSearch,1006,0.175592,0.143056,185,66526,10.5626
data/bupa_set,15,LocalSearch,1007,0.178735,0.152003,152,83506,13.2347
data/bupa_set,15,LocalSearch,1008,0.179805,0.149028,175,100000,15.7856
data/bupa_set,15,LocalSearch,1009,0.176396,0.146498,170,92852,14.6998
data/bupa_set,30,RandomSearch,1000,0.280018,0.232176,555,100000,29.8898
data/bupa_set,30,RandomSearch,1001,0.282513,0.235274,548,100000,29.8395
data/bupa_set,30,RandomSearch,1002,0.281548,0.231206,584,100000,29.8031
data/bupa_set,30,RandomSearch,1003,0.281884,0.232404,574,100000,29.8019
data/bupa_set,30,RandomSearch,1004,0.282138,0.22809,627,100000,29.8088
data/bupa_set,30,RandomSearch,1005,0.282485,0.233694,566,100000,29.8085
data/bupa_set,30,RandomSearch,1006,0.280954,0.231733,571,100000,29.8017
data/bupa_set,30,RandomSearch,1007,0.281316,0.23356,554,100000,29.8039
data/bupa_set,30,RandomSearch,1008,0.277801,0.230907,544,100000,29.8049
data/bupa_set,30,RandomSearch,1009,0.282557,0.235146,550,100000,29.9739
data/bupa_set,30,GreedySearch,1000,0.225151,0.225065,1,1,0.040671
data/bupa_set,30,GreedySearch,1001,0.226478,0.226133,4,1,0.0303091
data/bupa_set,30,GreedySearch,1002,0.229258,0.228741,6,1,0.0307033
data/bupa_set,30,GreedySearch,1003,0.224315,0.224056,3,1,0.0458998
data/bupa_set,30,GreedySearch,1004,0.228871,0.22844,5,1,0.0353651
data/bupa_set,30,GreedySearch,1005,0.23293,0.232672,3,1,0.0304569
