Dataset,K,Algorithm,Seed,Fitness,Distance,Infeasibility,Evaluations,Time
data/bupa_set,15,RandomSearch,1000,0.334958,0.245617,508,100000,17.1109
data/bupa_set,15,RandomSearch,1001,0.33467,0.247438,496,100000,17.1379
data/bupa_set,15,RandomSearch,1002,0.335388,0.250971,480,100000,17.0585
data/bupa_set,15,RandomSearch,1003,0.335224,0.252389,471,100000,17.0513
data/bupa_set,15,RandomSearch,1004,0.335527,0.248296,496,100000,16.9681
data/bupa_set,15,RandomSearch,1005,0.33517,0.247587,498,100000,17.0336
data/bupa_set,15,RandomSearch,1006,0.334577,0.248753,488,100000,17.0621
data/bupa_set,15,RandomSearch,1007,0.335545,0.248138,497,100000,17.2589
data/bupa_set,15,RandomSearch,1008,0.336354,0.250178,490,100000,17.1801
data/bupa_set,15,RandomSearch,1009,0.335806,0.250861,483,100000,16.962
data/bupa_set,15,GreedySearch,1000,0.244241,0.240723,20,1,0.0266999
data/bupa_set,15,GreedySearch,1001,0.243602,0.24114,14,1,0.0344658
data/bupa_set,15,GreedySearch,1002,0.245122,0.242835,13,1,0.0345764
data/bupa_set,15,GreedySearch,1003,0.243887,0.24037,20,1,0.0266138
data/bupa_set,15,GreedySearch,1004,0.241241,0.238251,17,1,0.0226279
data/bupa_set,15,GreedySearch,1005,0.238591,0.235601,17,1,0.0304964
data/bupa_set,15,GreedySearch,1006,0.246493,0.243327,18,1,0.0225588
data/bupa_set,15,GreedySearch,1007,0.24431,0.241144,18,1,0.0265147
data/bupa_set,15,GreedySearch,1008,0.244914,0.241573,19,1,0.0345012
data/bupa_set,15,GreedySearch,1009,0.24851,0.245696,16,1,0.0383908
data/bupa_set,15,LocalSearch,1000,0.181249,0.152582,163,64330,10.3056
data/bupa_set,15,LocalSearch,1001,0.183927,0.155964,159,80663,12.8767
data/bupa_set,15,LocalSearch,1002,0.182756,0.152155,174,93234,14.8413
data/bupa_set,15,LocalSearch,1003,0.178614,0.150299,161,78379,12.5033
data/bupa_set,15,LocalSearch,1004,0.174873,0.143041,181,100000,15.9813
data/bupa_set,15,LocalSearch,1005,0.179207,0.150716,162,94936,15.1653
data/bupa_set,15,LocalSearch,1006,0.175592,0.143056,185,66526,10.6527
data/bupa_set,15,LocalSearch,1007,0.178735,0.152003,152,83506,13.3184
data/bupa_set,15,LocalSearch,1008,0.179805,0.149028,175,100000,15.9453
data/bupa_set,15,LocalSearch,1009,0.176396,0.146498,170,92852,14.7849
data/bupa_set,15,AGG-Uniform,1000,0.235042,0.219918,86,100000,16.1373
data/bupa_set,15,AGG-Uniform,1001,0.224961,0.211947,74,100000,16.1335
data/bupa_set,15,AGG-Uniform,1002,0.229315,0.214894,82,100000,16.1129
data/bupa_set,15,AGG-Uniform,1003,0.233972,0.222364,66,100000,16.1549
data/bupa_set,15,AGG-Uniform,1004,0.224801,0.213722,63,100000,16.0753
data/bupa_set,15,AGG-Uniform,1005,0.239134,0.227351,67,100000,16.0526
data/bupa_set,15,AGG-Uniform,1006,0.240621,0.226023,83,100000,16.2844
