Dataset,K,Algorithm,AvgFitness,AvgDistance,AvgInfeasibility,AvgEvaluations,AvgTime
data/bupa_set,15,RandomSearch,0.335322,0.249023,490.7,100000,12.4067
data/bupa_set,15,GreedySearch,0.244091,0.241066,17.2,1,0.0225339
data/bupa_set,15,LocalSearch,0.179116,0.149534,168.2,85442.6,10.2636
data/bupa_set,15,AGG-Uniform,0.232313,0.219,75.7,100000,16.1473
data/bupa_set,15,AGG-Segment,0.232769,0.219983,72.7,100000,16.2161
data/bupa_set,15,AGE-Uniform,0.232455,0.221463,62.5,100000,16.1323
data/bupa_set,15,AGE-Segment,0.233144,0.221589,65.7,100000,16.2911
data/bupa_set,15,AM-All,0.206264,0.176525,169.1,100000,15.8923
data/bupa_set,15,AM-Rand,0.192028,0.163818,160.4,100000,15.9823
data/bupa_set,15,AM-Best,0.188971,0.160621,161.2,100000,16.1338
data/bupa_set,30,RandomSearch,0.281321,0.232419,567.3,100000,23.8652
data/bupa_set,30,GreedySearch,0.22814,0.227839,3.5,1,0.0345517
data/bupa_set,30,LocalSearch,0.128322,0.0984361,346.7,99781.7,23.0941
data/bupa_set,30,AGG-Uniform,0.224886,0.202775,256.5,100000,29.4566
data/bupa_set,30,AGG-Segment,0.221888,0.199648,258,100000,29.6892
data/bupa_set,30,AGE-Uniform,0.217167,0.202995,164.4,100000,29.4717
data/bupa_set,30,AGE-Segment,0.22683,0.208461,213.1,100000,29.7275
data/bupa_set,30,AM-All,0.170189,0.139993,350.3,100000,29.1321
data/bupa_set,30,AM-Rand,0.145701,0.118133,319.8,100000,29.305
data/bupa_set,30,AM-Best,0.139329,0.111072,327.8,100000,29.3243
data/glass_set,15,RandomSearch,0.516975,0.402111,173.5,100000,6.40687
data/glass_set,15,GreedySearch,0.344327,0.344327,0,1,0.0122565
data/glass_set,15,LocalSearch,0.222678,0.19143,47.2,36397,2.0729
data/glass_set,15,AGG-Uniform,0.322313,0.304901,26.3,100000,5.84998
data/glass_set,15,AGG-Segment,0.326352,0.307815,28,100000,5.93264
data/glass_set,15,AGE-Uniform,0.327527,0.315544,18.1,100000,5.8724
data/glass_set,15,AGE-Segment,0.326394,0.315073,17.1,100000,5.99449
data/glass_set,15,AM-All,0.23582,0.203314,49.1,100000,5.67313
data/glass_set,15,AM-Rand,0.230189,0.198941,47.2,100000,5.80443
data/glass_set,15,AM-Best,0.220957,0.192556,42.9,100000,5.75286
data/glass_set,30,RandomSearch,0.42329,0.353213,218.7,100000,11.2976
data/glass_set,30,GreedySearch,73333.5,73333.5,0,1,0.0214799
data/glass_set,30,LocalSearch,0.159363,0.126167,103.6,76518.1,8.1385
data/glass_set,30,AGG-Uniform,0.277612,0.255695,68.4,100000,10.7545
data/glass_set,30,AGG-Segment,0.268268,0.247313,65.4,100000,10.7971
data/glass_set,30,AGE-Uniform,0.307991,0.284985,71.8,100000,10.7256
data/glass_set,30,AGE-Segment,0.293997,0.271055,71.6,100000,10.7976
data/glass_set,30,AM-All,0.183165,0.149456,105.2,100000,10.5469
data/glass_set,30,AM-Rand,0.158848,0.128568,94.5,100000,10.7273
data/glass_set,30,AM-Best,0.153408,0.124218,91.1,100000,10.7582
data/zoo_set,15,RandomSearch,1.47239,1.26718,37,100000,1.30864
data/zoo_set,15,GreedySearch,13334.2,13334.2,0,1,0.00195798
data/zoo_set,15,LocalSearch,0.532453,0.497511,6.3,13951.9,0.12295
data/zoo_set,15,AGG-Uniform,1.01034,0.948221,11.2,100000,0.903214
data/zoo_set,15,AGG-Segment,0.979178,0.93148,8.6,100000,0.972204
data/zoo_set,15,AGE-Uniform,0.910623,0.878455,5.8,100000,0.916963
data/zoo_set,15,AGE-Segment,0.868602,0.838652,5.4,100000,0.952871
data/zoo_set,15,AM-All,0.527231,0.498945,5.1,100000,0.882851
data/zoo_set,15,AM-Rand,0.516162,0.483439,5.9,100000,0.903286
data/zoo_set,15,AM-Best,0.506331,0.467507,7,100000,0.883533
data/zoo_set,30,RandomSearch,1.02809,0.902583,48.7,100000,2.02792
data/zoo_set,30,GreedySearch,140000,140000,0,1,0.00341114
data/zoo_set,30,LocalSearch,0.289342,0.244242,17.5,23325.4,0.246468
data/zoo_set,30,AGG-Uniform,0.648163,0.590435,22.4,100000,1.04871
data/zoo_set,30,AGG-Segment,0.584995,0.522112,24.4,100000,1.1002
data/zoo_set,30,AGE-Uniform,0.506591,0.476181,11.8,100000,1.03958
data/zoo_set,30,AGE-Segment,0.605974,0.56139,17.3,100000,1.07825
data/zoo_set,30,AM-All,0.297702,0.250283,18.4,100000,1.02128
data/zoo_set,30,AM-Rand,0.291801,0.251855,15.5,100000,1.0198
data/zoo_set,30,AM-Best,0.28636,0.247445,15.1,100000,1.03591
