Dataset,K,Algorithm,AvgFitness,AvgDistance,AvgInfeasibility,AvgEvaluations,AvgTime
data/bupa_set,15,RandomSearch,0.335066,0.248275,493.5,100000,17.5115
data/bupa_set,15,GreedySearch,0.236603,0.23261,22.7,1,0.0218855
data/bupa_set,15,LocalSearch,0.179116,0.149534,168.2,85442.6,14.0427
data/bupa_set,15,AM-Best,0.187274,0.159363,158.7,100000,16.524
data/bupa_set,15,SimulatedAnnealing,0.235069,0.17858,321.2,100000,16.6824
data/bupa_set,15,SimulatedAnnealingFast,0.243176,0.211167,182,100000,0.214639
data/bupa_set,15,BMB,0.1871,0.154195,187.1,100000,16.8468
data/bupa_set,15,ILS,0.179833,0.150269,168.1,100000,16.5815
data/bupa_set,15,ILS-ES,0.234882,0.183651,291.3,100000,16.5827
data/bupa_set,15,GRASP,0.186906,0.157096,169.5,100000,16.5346
data/bupa_set,30,RandomSearch,0.281793,0.234287,551.1,100000,29.8633
data/bupa_set,30,GreedySearch,0.217197,0.216422,9,1,0.0397459
data/bupa_set,30,LocalSearch,0.128322,0.0984361,346.7,99781.7,29.2322
data/bupa_set,30,AM-Best,0.139398,0.111107,328.2,100000,29.2591
data/bupa_set,30,SimulatedAnnealing,0.186886,0.131329,644.5,100000,29.0736
data/bupa_set,30,SimulatedAnnealingFast,0.196355,0.162254,395.6,100000,0.343808
data/bupa_set,30,BMB,0.137941,0.104176,391.7,100000,29.6033
data/bupa_set,30,ILS,0.133843,0.103199,355.5,100000,29.3787
data/bupa_set,30,ILS-ES,0.187923,0.137211,588.3,100000,28.9192
data/bupa_set,30,GRASP,0.138621,0.106674,370.6,100000,29.4488
data/glass_set,15,RandomSearch,0.516492,0.398849,177.7,100000,6.50543
data/glass_set,15,GreedySearch,0.334594,0.334594,0,1,0.00803011
data/glass_set,15,LocalSearch,0.222678,0.19143,47.2,36397,2.15479
data/glass_set,15,AM-Best,0.222602,0.19387,43.4,100000,5.80181
data/glass_set,15,SimulatedAnnealing,0.249063,0.201132,72.4,100000,5.74291
data/glass_set,15,SimulatedAnnealingFast,0.263422,0.244951,27.9,100000,0.135259
data/glass_set,15,BMB,0.22115,0.187453,50.9,100000,5.83987
data/glass_set,15,ILS,0.213874,0.185207,43.3,99722.1,5.77737
data/glass_set,15,ILS-ES,0.255159,0.20736,72.2,100000,5.77646
data/glass_set,15,GRASP,0.219387,0.189132,45.7,100000,5.80725
data/glass_set,30,RandomSearch,0.425907,0.357497,213.5,100000,11.2325
data/glass_set,30,GreedySearch,0.279313,0.279313,0,1,0.0132006
data/glass_set,30,LocalSearch,0.159363,0.126167,103.6,76518.1,7.96689
data/glass_set,30,AM-Best,0.153304,0.123569,92.8,100000,10.3701
data/glass_set,30,SimulatedAnnealing,0.204398,0.146946,179.3,100000,10.4207
data/glass_set,30,SimulatedAnnealingFast,0.210228,0.177225,103,100000,0.234209
data/glass_set,30,BMB,0.165626,0.129643,112.3,100000,10.6143
data/glass_set,30,ILS,0.159788,0.125823,106,94000.3,9.89391
data/glass_set,30,ILS-ES,0.209635,0.153689,174.6,100000,10.4124
data/glass_set,30,GRASP,0.161695,0.126577,109.6,100000,10.4749
data/zoo_set,15,RandomSearch,1.51108,1.30365,37.4,100000,1.33379
data/zoo_set,15,GreedySearch,0.893328,0.893328,0,1,0.00128859
data/zoo_set,15,LocalSearch,0.532453,0.497511,6.3,13951.9,0.116912
data/zoo_set,15,AM-Best,0.509392,0.484434,4.5,100000,0.837261
data/zoo_set,15,SimulatedAnnealing,0.453049,0.425318,5,100000,0.832255
data/zoo_set,15,SimulatedAnnealingFast,0.502262,0.499489,0.5,100000,0.143849
data/zoo_set,15,BMB,0.485844,0.435928,9,63847.6,0.545212
data/zoo_set,15,ILS,0.487644,0.448266,7.1,53388.6,0.458241
data/zoo_set,15,ILS-ES,0.467319,0.42073,8.4,100000,0.835665
data/zoo_set,15,GRASP,0.484056,0.45577,5.1,57408.2,0.484623
data/zoo_set,30,RandomSearch,1.05888,0.932857,48.9,100000,1.8134
data/zoo_set,30,GreedySearch,0.599113,0.599113,0,1,0.00214768
data/zoo_set,30,LocalSearch,0.289342,0.244242,17.5,23325.4,0.24317
data/zoo_set,30,AM-Best,0.293954,0.245246,18.9,100000,1.09544
data/zoo_set,30,SimulatedAnnealing,0.272822,0.223084,19.3,100000,1.04044
data/zoo_set,30,SimulatedAnnealingFast,0.302496,0.290641,4.6,99688.9,0.203616
data/zoo_set,30,BMB,0.28082,0.228762,20.2,91723.2,0.9608
data/zoo_set,30,ILS,0.279453,0.241569,14.7,64400.3,0.691266
data/zoo_set,30,ILS-ES,0.285549,0.236325,19.1,100000,1.01474
data/zoo_set,30,GRASP,0.269776,0.222615,18.3,90806.1,0.978822
