Dataset,K,Algorithm,Seed,Fitness,Distance,Infeasibility,Evaluations,Time
data/bupa_set,15,BMB,1007,0.183693,0.152564,177,100000,16.8011
data/bupa_set,15,BMB,1008,0.188106,0.158736,167,100000,16.5065
data/bupa_set,15,BMB,1009,0.187526,0.156573,176,100000,16.5155
data/bupa_set,15,ILS,1000,0.183089,0.153719,167,100000,16.4404
data/bupa_set,15,ILS,1001,0.180488,0.152173,161,100000,16.4485
data/bupa_set,15,ILS,1002,0.181588,0.152921,163,100000,16.4774
data/bupa_set,15,ILS,1003,0.182256,0.152534,169,100000,16.609
data/bupa_set,15,ILS,1004,0.177486,0.149347,160,100000,16.9118
data/bupa_set,15,ILS,1005,0.178263,0.145199,188,100000,16.6564
data/bupa_set,15,ILS,1006,0.175302,0.145052,172,100000,16.6133
data/bupa_set,15,ILS,1007,0.179706,0.15016,168,100000,16.4479
data/bupa_set,15,ILS,1008,0.179767,0.150925,164,100000,16.5809
data/bupa_set,15,ILS,1009,0.180382,0.15066,169,100000,16.6293
data/bupa_set,15,ILS-ES,1000,0.233727,0.18079,301,100000,16.8978
data/bupa_set,15,ILS-ES,1001,0.240126,0.187892,297,100000,16.6151
data/bupa_set,15,ILS-ES,1002,0.237503,0.181049,321,100000,16.5573
data/bupa_set,15,ILS-ES,1003,0.234974,0.182037,301,100000,16.757
data/bupa_set,15,ILS-ES,1004,0.234327,0.182445,295,100000,16.8936
data/bupa_set,15,ILS-ES,1005,0.230995,0.1865,253,100000,16.4208
data/bupa_set,15,ILS-ES,1006,0.229796,0.17897,289,100000,16.4134
data/bupa_set,15,ILS-ES,1007,0.23588,0.186461,281,100000,16.4156
data/bupa_set,15,ILS-ES,1008,0.238048,0.185815,297,100000,16.4381
data/bupa_set,15,ILS-ES,1009,0.233443,0.184551,278,100000,16.4185
data/bupa_set,15,GRASP,1000,0.184917,0.156426,162,100000,16.3902
data/bupa_set,15,GRASP,1001,0.186802,0.157432,167,100000,16.3757
data/bupa_set,15,GRASP,1002,0.182173,0.154562,157,100000,16.3554
data/bupa_set,15,GRASP,1003,0.188919,0.156031,187,100000,16.4597
data/bupa_set,15,GRASP,1004,0.189836,0.162577,155,100000,16.3614
data/bupa_set,15,GRASP,1005,0.1872,0.158885,161,100000,16.3717
data/bupa_set,15,GRASP,1006,0.187164,0.155156,182,100000,16.3618
